"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"2677",621244,"Jose Berrios",2017,2261,0.09023,0.1039,-0.0122117868197898,705,0.3234,0.30118,0.0215211389479563,1110,0.62072,0.64977,-0.0412570244888531,0.0505663766170195
"2678",621244,"Jose Berrios",2018,2982,0.11301,0.10977,-0.000697231029700619,929,0.32616,0.29592,0.0374287347364487,1429,0.6606,0.65547,-0.0102065199830784,0.0469380236898265
"2679",621244,"Jose Berrios",2019,3124,0.10723,0.11615,-0.0105651645440024,980,0.35816,0.33205,0.0465339203014294,1560,0.64423,0.65944,-0.0174599076413278,0.0534286633987548
"2680",621249,"Duane Underwood Jr.",2019,195,0.11282,0.12079,-0.00231328945586899,60,0.38333,0.38595,0.0133692482429133,96,0.66667,0.69571,-0.00851711040801209,0.0195730691950564
"2681",621261,"Corey Oswalt",2018,1034,0.07157,0.10439,-0.0276856982753607,337,0.28487,0.28725,0.00995040583802833,517,0.70793,0.65839,0.0316548165197275,-0.0493901089570599
"2682",621261,"Corey Oswalt",2019,139,0.06475,0.0998,-0.0209974071673491,62,0.27419,0.2981,-0.000150292978855715,54,0.68519,0.66961,-0.000143667859780531,-0.0210040322864243
"2683",621281,"Tyler Wagner",2015,247,0.05263,0.09511,-0.0323737996217497,83,0.31325,0.30206,-0.00199345032644151,113,0.61947,0.60944,0.000463409329008354,-0.0348306592771995
"2684",621281,"Tyler Wagner",2016,145,0.08276,0.09545,-0.00370125921116713,61,0.29508,0.27451,0.0111207773626998,65,0.70769,0.63316,0.0172279570728829,-0.00980843892135025
"2685",621289,"Jaime Schultz",2018,583,0.12864,0.0933,0.0212955130424259,185,0.25405,0.27156,-0.00854695085247401,294,0.64966,0.68219,-0.0305050364330581,0.04325359862301
"2686",621294,"Ben Heller",2016,169,0.07692,0.10517,-0.0153019412522605,59,0.35593,0.22009,0.0459726277222205,74,0.63514,0.70985,-0.0227691535782877,0.0534398400482476
"2687",621294,"Ben Heller",2017,181,0.17127,0.11273,0.0245590920919764,64,0.1875,0.25905,-0.0195820837594904,85,0.64706,0.66208,-0.00938688482105168,0.0143638931535376
"2688",621295,"Nick Wittgren",2016,842,0.06413,0.09574,-0.0244434220393366,264,0.29167,0.32815,-0.0307914413436808,453,0.67991,0.68622,-0.00857257819931589,-0.0466622851837015
"2689",621295,"Nick Wittgren",2017,753,0.1089,0.10116,0.00353783827731308,224,0.29464,0.3443,-0.0278552907640121,403,0.66998,0.6645,-0.00430261437071363,-0.0200148381159854
"2690",621295,"Nick Wittgren",2018,601,0.09318,0.0991,-0.00907200420144668,200,0.28,0.31599,-0.0104618086540682,313,0.70607,0.67458,0.0119729373132011,-0.031506750168716
"2691",621295,"Nick Wittgren",2019,967,0.09307,0.10716,-0.0185504998289839,251,0.31873,0.32557,0.00733671069815425,491,0.65784,0.68199,-0.0268696407502408,0.0156558516194112
"2692",621345,"A.J. Minter",2017,248,0.18145,0.07071,0.0658760454028647,104,0.38462,0.22465,0.0743438185705589,128,0.70312,0.64748,0.02749748762805,0.112722376345374
"2693",621345,"A.J. Minter",2018,1043,0.14957,0.07683,0.0606748444650322,469,0.3049,0.25074,0.051084945245664,513,0.69786,0.67051,0.0114149676028571,0.100344822107839
"2694",621345,"A.J. Minter",2019,588,0.13946,0.08787,0.0387047316443351,269,0.31599,0.27483,0.0438168999936968,270,0.72963,0.69829,0.00291421295722011,0.0796074186808117
"2695",621350,"Caleb Frare",2018,129,0.16279,0.10145,0.0255008206406041,67,0.29851,0.23458,0.024265093125381,56,0.75,0.67569,0.0152344974792854,0.0345314162866997
"2696",621363,"Colin Poche",2019,869,0.17261,0.10047,0.0579344453455259,402,0.30846,0.30616,0.0162269404570742,445,0.75281,0.7082,0.028187062148124,0.0459743236544761
"2697",621366,"Ryan Borucki",2018,1581,0.07717,0.10272,-0.0251269253281087,562,0.2153,0.26886,-0.0478987740843433,744,0.65995,0.67005,-0.0187188422277222,-0.0543068571847297
"2698",621366,"Ryan Borucki",2019,155,0.09032,0.10588,-0.0039485020525269,63,0.12698,0.21319,-0.0150541405305562,69,0.65217,0.66315,-0.00353609102734018,-0.015466551555743
