"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1073",607625,"Seth Lugo",2017,1597,0.08766,0.10337,-0.0176094675703165,501,0.28743,0.28616,0.01090733044122,822,0.65937,0.65453,-0.00653986222123744,-0.000162274907858969,2.962
"1074",607625,"Seth Lugo",2018,1612,0.10112,0.10947,-0.0110028861683966,521,0.28407,0.31089,-0.014082145148662,818,0.63081,0.64944,-0.0261615620264453,0.00107653070938668,3.113
"1075",607625,"Seth Lugo",2019,1275,0.11294,0.10209,0.0101889864449316,390,0.24103,0.29353,-0.02202376589735,673,0.64042,0.66431,-0.0344019265642924,0.0225671471118741,2.961
"1076",607644,"John Means",2019,2657,0.09861,0.10969,-0.0138066585647966,1136,0.26232,0.29063,-0.0188733275191824,1220,0.71148,0.66488,0.0323731405558056,-0.0650531266397847,3.022
"1077",608032,"Carlos Estevez",2016,1025,0.11415,0.09548,0.0169256417705717,319,0.25392,0.27601,-0.0254596037081815,522,0.70307,0.67247,0.0180606618806573,-0.0265946238182671,2.825
"1078",608032,"Carlos Estevez",2019,1283,0.13952,0.10261,0.0341373359613788,332,0.25,0.31214,-0.0323914599030087,724,0.69751,0.66434,0.0129137652527449,-0.0111678891943747,3.029
"1079",608331,"Max Fried",2019,2669,0.11502,0.10634,0.00234427300623955,1111,0.27993,0.29152,-0.00672133229640299,1279,0.65989,0.64918,-0.00867382568320598,0.00429676639304255,3.017
"1080",608337,"Lucas Giolito",2018,3016,0.08389,0.10089,-0.0145698162327466,945,0.28783,0.27065,0.0236176284854093,1466,0.62892,0.65595,-0.0362774004203523,0.0453252126730149,2.884
"1081",608337,"Lucas Giolito",2019,2681,0.14957,0.11673,0.0279734950108119,709,0.31453,0.32776,0.00538906317627395,1462,0.67852,0.68725,-0.0158772794747442,0.0492398376618301,3.182
"1082",608349,"Corey Knebel",2017,1423,0.14336,0.10201,0.0392387344006013,470,0.32766,0.30092,0.0347052729425551,688,0.61773,0.67068,-0.0529889209916383,0.126932928334795,2.975
"1083",608349,"Corey Knebel",2018,1070,0.13271,0.09741,0.0289959966564794,342,0.2807,0.2704,0.0125638758071326,558,0.64695,0.67887,-0.0409917570434415,0.0825516295070536,2.815
"1084",608379,"Michael Wacha",2015,3004,0.09587,0.10043,-0.00775514987290436,969,0.31579,0.30584,-0.00747251347449194,1569,0.69344,0.66332,0.0153980074393303,-0.0306256707867266,2.988
"1085",608379,"Michael Wacha",2016,2203,0.08307,0.09451,-0.0116319933880702,642,0.29128,0.27694,0.00401481850042272,1134,0.66755,0.653,0.0152718749524419,-0.0228890498400894,2.849
